gate_error,gate_fidelity,qpt_theory_fidelities,qpt_exp_robustness,qpt_exp_robustness_std,qpt_sim_robustness,ellipsoid_exp_robustness,ellipsoid_exp_robustness_std,ellipsoid_sim_robustness,gst_exp_robustness,gst_exp_robustness_std
0.0,0.9955087606813356,0.9999919879822862,0.9554534392973868,0.0081496264257966,0.9639810864766916,0.9752469101261922,0.0024010519715778,0.9653809827167887,0.9665492441171812,0.0024495709588159
0.010000000000000009,0.8538746764835795,0.9970646727036654,0.6343766315564138,0.0120603839240822,0.960598729684996,0.974150928560492,0.0027131870805705,0.9653809827167887,0.967804325437028,0.0025183964814834
0.020000000000000018,0.9717648964778884,0.9939615734605558,0.8433024299797462,0.0085856809325186,0.9568580656048367,0.975596135747146,0.002424461588981,0.9653809827167887,0.9652981645833943,0.0026128311703354
0.030000000000000027,0.9516488085491572,0.9906924548361111,0.8633626207294033,0.0075538598828187,0.9528666232662668,0.9705101613706124,0.0025295810224623,0.9653809827167887,0.9644285305240632,0.0022825589022027
0.040000000000000036,0.976224685513746,0.9872612014647142,0.8874305063436172,0.0077969174823406,0.9486753479366643,0.949697333499101,0.0019726429199844,0.9653809827167887,0.9663799127934452,0.0026410396226256
0.050000000000000044,0.9852923014862762,0.9836621576040956,0.9103634122182036,0.0068959788860937,0.9442853650961283,0.9620227073953384,0.0029623677331247,0.9653809827167887,0.9647268904501096,0.0022944320418852
0.06000000000000005,0.9729810883520984,0.9799022111493418,0.9006346984146409,0.0064904816258627,0.939690497763884,0.9569082846163114,0.0030129982257615,0.9653809827167887,0.9660373024067984,0.0025939305635389
0.07000000000000006,0.9358150747038309,0.9759823606326865,0.8008964877635679,0.0064471872929709,0.9348857247086437,0.9555546052076502,0.0024939847608424,0.9653809827167887,0.9637669822539812,0.0034331440841578
0.08000000000000007,0.9328883700913349,0.9719043917527928,0.7935176443775993,0.0079394014351875,0.9299204012704825,0.9803020578887808,0.002558237746021,0.9653809827167887,0.9662368879138352,0.0028357591938772
0.09000000000000008,0.936700992485646,0.9676763478152746,0.8563962541827774,0.0078615879065963,0.9247631279800381,0.9767174476005802,0.0024268574679409,0.9653809827167887,0.962261190248453,0.0028979771630001
0.10000000000000009,0.9741936002101664,0.9632796754847144,0.9211883904597598,0.005909407859363,0.9194078031481183,0.98146549866125,0.0021587405009865,0.9653809827167887,0.9632070269399144,0.003268656857995
0.1100000000000001,0.9343897822051374,0.9587371974690473,0.7803784962463947,0.0078226411060366,0.9138634669679722,0.9818278740897648,0.0025429567366769,0.9653809827167887,0.9626176992582444,0.0029623268965634
0.1200000000000001,0.9415399446254265,0.9540415359845769,0.8580200650660488,0.0072602709287002,0.9081537658953409,0.9717524235935628,0.0021396055856296,0.9653809827167887,0.9644831824441716,0.0028547043549079
0.1299999999999999,0.9593602279226228,0.9491970775607359,0.8976874568704308,0.0057018347064893,0.9022733128393812,0.9589520677631608,0.0039612649148367,0.9653809827167887,0.9620165447470792,0.0029781356206966
0.1399999999999999,0.9470061779899276,0.9442023594518965,0.8798614985783294,0.0059906694949004,0.8962077507302015,0.9626280983019004,0.0039465832459235,0.9653809827167887,0.9616373423677784,0.0034350649527326
0.1499999999999999,0.9431440488267624,0.9390639758723303,0.874293794799284,0.0066639326448929,0.8899741874028186,0.9755878282324376,0.0032718252632353,0.9653809827167887,0.9608093173925673,0.0033644899292489
0.15999999999999992,0.804573755217942,0.9337819164247829,0.6632129373564617,0.0073533376177864,0.8835641831969772,0.9677864074258417,0.0023109115589718,0.9653809827167887,0.9631885240276528,0.0035111934583304
0.16999999999999993,0.8711749940012554,0.9283496798421846,0.7378816203894193,0.0081803641847369,0.8770053742553241,0.9692313240089956,0.0019191457999619,0.9653809827167887,0.9610789483593164,0.0032993647137537
0.17999999999999994,0.7797308712548763,0.9227886908197224,0.5910458861740758,0.0077831756517964,0.8702760467353055,0.9458091483042934,0.0030650747601664,0.9653809827167887,0.960009833457728,0.0042615985542382
0.18999999999999995,0.910010061891776,0.9170811025250256,0.8432995550818854,0.0069307930948367,0.8633962488625331,0.9541193219285908,0.0037440815782612,0.9653809827167887,0.9552063031870646,0.0041609768050918
0.19999999999999996,0.8980440237058674,0.9112395200437995,0.8262983679636551,0.0075748541671713,0.8563628574270206,0.9774789899703532,0.0024856467231726,0.9653809827167887,0.960961977689696,0.0042365211215939
0.20999999999999996,0.9034459548678904,0.9052656354577711,0.84644883884688,0.00624830564649,0.8491749518782847,0.972822017095024,0.0032779690103805,0.9653809827167887,0.95830850056774,0.0038982466122033
0.21999999999999997,0.8919923928273207,0.8991561837200963,0.8343037050790079,0.0058982430292109,0.8418441778756636,0.9788568995905732,0.0024926121622156,0.9653809827167887,0.9619447807661312,0.0039512943423871
0.22999999999999998,0.8898698864701499,0.89292156557107,0.8332688667493763,0.0074929922228022,0.8344037014285712,0.9689877183773424,0.0023754683390267,0.9653809827167887,0.9626996718152598,0.0040019835009211
0.24,0.8427363905348381,0.8865536558393461,0.7650997529341257,0.0072847428384348,0.8267278858591169,0.9541252528867228,0.0019662494892142,0.9653809827167887,0.9580513873313272,0.0045655091213368
0.25,0.861057339790581,0.8800561453945719,0.8080064339770141,0.0068966785107757,0.8189846341528322,0.9767872566583417,0.0029982538770253,0.9653809827167887,0.9608121004260508,0.0035314115556173
0.26,0.7333817171309169,0.8734376694257208,0.3767353388118197,0.008402447513036,0.8110643541320752,0.954232708141214,0.0022075597919674,0.9653809827167887,0.9576100918618295,0.0040433050304876
0.27,0.8484572401214626,0.8666967361228165,0.805748085568737,0.007272920150233,0.8030247734625622,0.955786158779945,0.0029715333932128,0.9653809827167887,0.9608873372904398,0.0041080933078228
0.28,0.7989562177362644,0.8596838357478083,0.6757021166947991,0.0077282559276673,0.7948576930187881,0.969729430324985,0.0029216888049858,0.9653809827167887,0.9574102925451192,0.0039737643362138
0.29000000000000004,0.7983152564977418,0.8518156143350486,0.6878409777615666,0.0066846717524001,0.7865554804755863,0.9725384449037148,0.0032409215441806,0.9653809827167887,0.9571741073544104,0.004028724136069
0.30000000000000004,0.7923645441704693,0.8437949185798256,0.7124796053772847,0.0081308141402917,0.77811607102017,0.9767199182631524,0.0031826068275793,0.9653809827167887,0.957605068515625,0.0043285642281286
